scenario,horizon_years,fold,model,candidate,validation_brier
regime_shift,5,1,hist_gradient_boosting,fixed_constrained_tree,0.0298532822202378
regime_shift,5,2,profitability_logit,C=0.01,0.0406807868067531
regime_shift,5,2,profitability_logit,C=0.1,0.0407254303088888
regime_shift,5,2,profitability_logit,C=1,0.0407342914940678
regime_shift,5,2,profitability_logit,C=10,0.0407352513637472
regime_shift,5,2,distress_logit,C=0.01,0.0406574269388663
regime_shift,5,2,distress_logit,C=0.1,0.0407027668593029
regime_shift,5,2,distress_logit,C=1,0.0407168476353019
regime_shift,5,2,distress_logit,C=10,0.0407184581899751
regime_shift,5,2,industry_rate,sic2_smoothed_rate,0.0409177256436169
regime_shift,5,2,occupied_cell_rate,training_tertile_729_cell_rate,0.0408283891973207
regime_shift,5,2,relative_axes_logit,C=0.01,0.040694780298962
regime_shift,5,2,relative_axes_logit,C=0.1,0.0407497393653066
regime_shift,5,2,relative_axes_logit,C=1,0.04076515006393
regime_shift,5,2,relative_axes_logit,C=10,0.0407669848786513
regime_shift,5,2,combined_axes_logit,C=0.01,0.040693086363815
regime_shift,5,2,combined_axes_logit,C=0.1,0.0407112521965558
